# Distribución de masa en la superficie (z = altura)
# Paso: 59, Tiempo: 59s
x y masa_arroz temperatura
-7.515152 -5.252525 0.000000 25.000000
-7.515152 -5.090909 0.000000 25.000000
-7.515152 -4.929293 0.000000 25.000000
-7.515152 -4.767677 0.000000 25.000000
-7.515152 -4.606061 0.000000 25.000000
-7.515152 -4.444444 0.000000 25.000000
-7.515152 -4.282828 0.000000 25.000000
-7.515152 -4.121212 0.000000 25.000000
-7.515152 -3.959596 0.000000 25.000000
-7.515152 -3.797980 0.000000 25.000000
-7.515152 -3.636364 0.000000 25.000000
-7.515152 -3.474747 0.000000 25.000000
-7.515152 -3.313131 0.000000 25.000000
-7.515152 -3.151515 0.000000 25.000000
-7.515152 -2.989899 0.000000 25.000000
-7.515152 -2.828283 0.000000 25.000000
-7.515152 -2.666667 1.000000 25.000000
-7.515152 -2.505051 1.000000 25.000000
-7.515152 -2.343434 1.000000 25.000000
-7.515152 -2.181818 1.000000 25.000000
-7.515152 -2.020202 1.000000 25.000000
-7.515152 -1.858586 1.000000 25.000000
-7.515152 -1.696970 1.000000 25.000000
-7.515152 -1.535354 1.000000 25.000000
-7.515152 -1.373737 1.000000 25.000000
-7.515152 -1.212121 1.000000 25.000000
-7.515152 -1.050505 1.000000 25.000000
-7.515152 -0.888889 1.000000 25.000000
-7.515152 -0.727273 1.000000 25.000000
-7.515152 -0.565657 1.000000 25.000000
-7.515152 -0.404040 1.000000 25.000000
-7.515152 -0.242424 1.000000 25.000000
-7.515152 -0.080808 1.000000 25.000000
-7.515152 0.080808 1.000000 25.000000
-7.515152 0.242424 1.000000 25.000000
-7.515152 0.404040 1.000000 25.000000
-7.515152 0.565657 1.000000 25.000000
-7.515152 0.727273 1.000000 25.000000
-7.515152 0.888889 1.000000 25.000000
-7.515152 1.050505 1.000000 25.000000
-7.515152 1.212121 1.000000 25.000000
-7.515152 1.373737 1.000000 25.000000
-7.515152 1.535354 1.000000 25.000000
-7.515152 1.696970 1.000000 25.000000
